pos,word
시원찬/VA,시원찮다
시원찮음/NNG,시원찮다
시큰둥/XR,시큰둥하다
시큰둥/MAG,시큰둥하다
시큰둥/VA,시큰둥하다
신경/NNG+쓰/VV,신경쓰이다
신경/NNG+썼/VV+EP,신경쓰이다
신경/NNG+쓸/VV+ETM,신경쓰이다
신경/NNG+쓴/VV+ETM,신경쓰이다
신경/NNG+씀/VV+ETN,신경쓰이다
신경씀/NNG,신경쓰이다
신물/NNG,신물나다
신통찮/VA,신통찮다
갑갑/XR,갑갑하다
싫/VA,싫다
싫음/NNG,싫다
싫증/NNG,싫증나다
강압/NNG,강압적
심각/XR,심각하다
심각/NNG,심각하다
같잖/VA,같잖다
같잖/NNG,같잖다
심드렁/XR,심드렁하다
심드렁/NNG,심드렁하다
개/NNG+좆/NNG,개좆
거무칙칙/XR,거무칙칙
거무칙칙/NNG,거무칙칙
심하/VA,심하다
심/XR,심하다
심해/VA,심하다
심해/NNG,심하다
심했/VA,심하다
심할/VA,심하다
심함/NNG,심하다
거무튀튀/XR,거무튀튀
거무튀튀/NNG,거무튀튀
거북/XR,거북하다
거북함/NNG,거북하다
거슬리/VV,거슬리다
거슬린/VV,거슬리다
거슬렸/VV,거슬리다
거슬릴/VV,거슬리다
거슬림/NNG,거슬리다
거칠/VA,거칠다
거침/NNG,거칠다
썰렁/XR,썰렁하다
썰렁함/NNG,썰렁하다
아니꼽/VA,아니꼽다
아니꼬/VA,아니꼽다
아니꼬움/NNG,아니꼽다
경멸/NNG,경멸하다
경박/XR,경박하다
경박/NNG,경박하다
고루/MAG,고루하다
고루/VA,고루하다
고리타분/XR,고리타분하다
고리타분/NNG,고리타분하다
고만고만/XR,고만고만
고만고만/NNG,고만고만
고만고만/VA,고만고만
안이/XR,안이하다
안이함/NNG,안이하다
고약/NNG,고약하다
고약/XR,고약하다
안/MAG+좋/VA,안좋다
안좋/VA,안좋다
안좋음/NNG,안좋다
안/MAG+좋음/NNG,안좋다
곤란/NNG,곤란하다
골치/NNG+아프/VA,골치아프다
골치/NNG+아파/VA+EC,골치아프다
골치/NNG+아팠/VA+EP,골치아프다
골치/NNG+아픈/VA+ETM,골치아프다
골치/NNG+아플/VA+ETM,골치아프다
골치/NNG+아픔/VA+ETN,골치아프다
골치/NNG+아픔/NNG,골치아프다
골칫거리/NNG,골칫거리다
골치/NNG+거리/NNG,골칫거리다
애매모호/NNG,애매모호하다
애매/XR,애매하다
애매/NNG,애매하다
과하/VA,과하다
과하/VV,과하다
과했/VA,과하다
과했/VV,과하다
과할/VA,과하다
